cameraLocation,cameraNumber,cameraProject,Location 1
Eutaw and Lexington Market,1,Downtown,"(39.290996, -76.621073999999993)"
Eutaw and Fayette,2,Downtown,"(39.29048796517317, -76.623665143680341)"
Eutaw and Baltimore,3,Downtown,"(39.289324000000001, -76.620985000000005)"
Eutaw and Redwood,4,Downtown,"(39.288677999999997, -76.620947999999999)"
Eutaw and Lombard,5,Downtown,"(39.287528000000002, -76.620853999999994)"
Eutaw and Camden,6,Downtown,"(39.285245000000003, -76.620675000000006)"
Paca and Pratt,7,Downtown,"(39.286256999999999, -76.622129000000001)"
Greene and Lombard,8,Downtown,"(39.287415000000003, -76.623615999999998)"
Greene and Baltimore,9,Downtown,"(39.289222000000002, -76.623694999999998)"
Greene and Fayette,10,Downtown,"(39.290332999999997, -76.623777000000004)"
Greene and Lexington,11,Downtown,"(39.291376999999997, -76.623836999999995)"
Paca and Fayette,12,Downtown,"(39.290370000000003, -76.622411)"
S Howard St and W Lombard St,13,Downtown,"(39.289645356378202, -76.624159236676732)"
S Howard St and W Pratt St,14,Downtown,"(39.286315000000002, -76.619369000000006)"
S Howard St and W Camden St,15,Downtown,"(39.285302000000001, -76.619282999999996)"
S Hanover and W Pratt St,16,Downtown,"(39.286451999999997, -76.616191000000001)"
Hopkins Pl and W Lombard St,17,Downtown,"(39.287667999999996, -76.617692000000005)"
Park Ave and W Baltimore St,18,Downtown,"(39.289383999999998, -76.617789999999999)"
S Howard St and W Baltimore St,19,Downtown,"(39.289386, -76.619479999999996)"
N Howard St and W Fayette St,20,Downtown,"(39.290447, -76.619489999999999)"
N Howard St and W Lexington St,21,Downtown,"(39.291601999999997, -76.619664)"
Park Ave and W Lexington St,22,Downtown,"(39.291581000000001, -76.618020000000001)"
N Liberty St and W Lexington St,23,Downtown,"(39.291670000000003, -76.617084000000006)"
N Liberty St and W Fayette St,24,Downtown,"(39.290450999999997, -76.617673999999994)"
Park Ave and W Fayette St,25,Downtown,"(39.290500999999999, -76.617985000000004)"
N Liberty St and Clay St,26,Downtown,"(39.291982411793313, -76.617325843424382)"
Cathedral St and W Saratoga St,27,Downtown,"(39.293019000000001, -76.616776999999999)"
Cathedral St and W Mulberry St,28,Downtown,"(39.294052999999998, -76.616793000000001)"
N Charles St and E Mulberry St,29,Downtown,"(39.294150999999999, -76.615488999999997)"
Cathedral St and W Franklin St,30,Downtown,"(39.295048000000001, -76.616872000000001)"
Park Ave and W Franklin St,31,Downtown,"(39.295011000000002, -76.618324000000001)"
Park Ave and W Mulberry St,32,Downtown,"(39.294016999999997, -76.618223999999998)"
Park Ave and W Saratoga St,33,Downtown,"(39.292954000000002, -76.618157999999994)"
N Howard St and W Saratoga St,34,Downtown,"(39.292895999999999, -76.619658999999999)"
N Howard St and W Mulberry St,35,Downtown,"(39.293987000000001, -76.619772999999995)"
N Howard St and W Franklin St,36,Downtown,"(39.295446379148409, -76.620445568838903)"
N Howard St and W Centre St,37,Downtown,"(39.296208999999998, -76.619917000000001)"
N Eutaw St and George St,38,Downtown,"(39.295789999999997, -76.621317000000005)"
S Paca St and W Baltimore St,39,Downtown,"(39.289278000000003, -76.622330000000005)"
N Eutaw St and W Saratoga,40,Downtown,"(39.292830000000002, -76.621144999999999)"
N Paca St and W Saratoga St,41,Downtown,"(39.292822000000001, -76.622539000000003)"
N Paca St and W Mulberry St,42,Downtown,"(39.293837000000003, -76.622570999999994)"
N Paca St and W Lexington St,43,Downtown,"(39.291428000000003, -76.622440999999995)"
N Greene St and W Franklin St,44,Downtown,"(39.294792000000001, -76.623951000000005)"
N Greene St and W Saratoga St,45,Downtown,"(39.292839999999998, -76.623895000000005)"
N Eutaw St and W Franklin St,46,Downtown,"(39.294890000000002, -76.621260000000007)"
N Eutaw St and Druid Hill Ave,47,Downtown,"(39.296695865155179, -76.621270179748535)"
N Eutaw St and W Mulberry St,48,Downtown,"(39.293914999999998, -76.621199000000004)"
N Paca St and George St,49,Downtown,"(39.295791999999999, -76.622656000000006)"
Cathedral St and W Centre St,50,Downtown,"(39.296299405500001, -76.616957187699995)"
Center Plaza and ,51,Downtown,"(39.291321673796268, -76.616474390029907)"
Hopkins Plaza and ,52,Downtown,"(39.288789080651917, -76.616270542144775)"
