cameraLocation,cameraNumber,cameraProject,Location 1
Charles and Baltimore,53,Downtown,"(39.289526000000002, -76.615144000000001)"
S Charles St and E Lombard St,54,Downtown,"(39.287744000000004, -76.614863)"
Saint Paul St and E Lexington St,55,Downtown,"(39.291170000000001, -76.613975999999994)"
Light St and E Redwood St,56,Downtown,"(39.288820219599998, -76.613717079200001)"
N Calvert St and E Fayette St,57,Downtown,"(39.290387000000003, -76.612448000000001)"
S Calvert St and E Redwood St,58,Downtown,"(39.288933, -76.612025000000003)"
S Calvert St and E Lombard St,59,Downtown,"(39.287824999999998, -76.612134999999995)"
Guilford Ave and E Lexington St,60,Downtown,"(39.291245000000004, -76.611114000000001)"
South St and E Baltimore St,61,Downtown,"(39.289701000000001, -76.611047999999997)"
South St and Water St,62,Downtown,"(39.288566000000003, -76.610961000000003)"
N Holiday St and E Saratoga St,63,Downtown,"(39.292495000000002, -76.610354999999998)"
N Holiday St and E Fayette St,64,Downtown,"(39.290497999999999, -76.610275999999999)"
CommerceSt and E Lombard St,65,Downtown,"(39.287849000000001, -76.610116000000005)"
CommerceSt and E Pratt St,66,Downtown,"(39.286662, -76.610022000000001)"
Custom House Ave and ,67,Downtown,"(39.289210493896313, -76.609755456447601)"
S Gay St and E Baltimore St,68,Downtown,"(39.289771999999999, -76.608945000000006)"
S Gay St and Water St,69,Downtown,"(39.288623999999999, -76.608832000000007)"
E Saratoga St and E Lexington St,70,Downtown,"(39.291377722, -76.607829630400005)"
Market Pl and E Lombard St,71,Downtown,"(39.287903999999997, -76.606943999999999)"
Pearl St and W Lexington St,72,Downtown,"(39.291325000000001, -76.624647999999993)"
N Greene St and W Mulberry St,73,Downtown,"(39.293779000000001, -76.623930000000001)"
Druid Hill Ave and Saint Mary St,74,Downtown,"(39.297505383100003, -76.622871458500001)"
Pennsylvania Ave and Saint Mary St,75,Downtown,"(39.295821990357901, -76.625062823295593)"
N Eutaw St and W Monument St,76,Downtown,"(39.297269, -76.621448000000001)"
Saratoga and Charles,77,Downtown,"(39.292327, -76.615414000000001)"
Saint Paul St and Franklin,78,Downtown,"(39.295109528266927, -76.613870884137015)"
Charles and Fayette,79,Downtown,"(39.290628181254959, -76.614485357323218)"
E Fayette St and N Broadway,201,Broadway,"(39.293968, -76.594116999999997)"
E Fairmount Ave and N Broadway,202,Broadway,"(39.292631999999998, -76.594029000000006)"
E Baltimore St and S Broadway,203,Broadway,"(39.291542, -76.593943999999993)"
E Baltimore St and S Ann St,204,Broadway,"(39.291615999999998, -76.591776999999993)"
E Baltimore St and S Washington St,205,Broadway,"(39.291747000000001, -76.589201000000003)"
E Lombard St and S Broadway,206,Broadway,"(39.290399000000001, -76.593868999999998)"
E Lombard St and S Ann St,207,Broadway,"(39.290498999999997, -76.591710000000006)"
E Lombard St and S Durham St,208,Broadway,"(39.290520000000001, -76.591047000000003)"
E Lombard St and S Chapel St,209,Broadway,"(39.290554999999998, -76.589748999999998)"
E Lombard St and S Washington St,210,Broadway,"(39.290573000000002, -76.589106000000001)"
E Pratt St and S Broadway,211,Broadway,"(39.289256999999999, -76.593802999999994)"
E Pratt St and N Bond St,212,Broadway,"(39.289139912544471, -76.595711410045624)"
Gough St and S Broadway,213,Broadway,"(39.287623000000004, -76.593704000000002)"
GoughSt and S Regester St,214,Broadway,"(39.287695999999997, -76.592432000000002)"
Bank St and S Broadway,215,Broadway,"(39.286608999999999, -76.593637999999999)"
Bank St and S Bond St,216,Broadway,"(39.286512000000002, -76.595439999999996)"
Bank St and Caroline St,217,Broadway,"(39.286467999999999, -76.596843000000007)"
Eastern Ave and S Broadway,218,Broadway,"(39.285578000000001, -76.593557000000004)"
Eastern Ave and S Ann St,219,Broadway,"(39.285685999999998, -76.591406000000006)"
Fleet St and S Broadway,220,Broadway,"(39.284603873545841, -76.59356564283371)"
Fleet St and S Broadway St (East),221,Broadway,"(39.284564000000003, -76.593260000000001)"
Fleet St and S Ann St,222,Broadway,"(39.284725999999999, -76.591352999999998)"
Fleet St and S Caroline St,223,Broadway,"(39.284424999999999, -76.596723999999995)"
Fleet St and S Eden St,224,Broadway,"(39.284345999999999, -76.598245000000006)"
S Broadway and Aliceanna St (East),225,Broadway,"(39.283534695712298, -76.593184769153595)"
Aliceanna and Broadway (West),226,Broadway,"(39.283388308477349, -76.5944198688385)"
ThamesSt and S Broadway,227,Broadway,"(39.281841, -76.593125000000001)"
2708 Berea Rd (rear),301,Cherry Hill,"(39.250638607403452, -76.632866403297797)"
1312 Shellbanks (rear),302,Cherry Hill,"(39.251197184331552, -76.631438758982554)"
Berea Rd and Slater Rd,303,Cherry Hill,"(39.250115999999998, -76.633009999999999)"
2711 Berea Rd. (rear),304,Cherry Hill,"(39.250272000000002, -76.632756000000001)"
ShellbanksRd and Blyden Rd,305,Cherry Hill,"(39.250484, -76.631866000000002)"
1301 Slater Rd. (rear),306,Cherry Hill,"(39.249631000000001, -76.632949999999994)"
Bldg1200 (rear),307,Cherry Hill,"(39.250543061206614, -76.631404906511307)"
Fisk Rd and Slater Rd,308,Cherry Hill,"(39.248756, -76.632199999999997)"
1201 Slater Rd (rear),309,Cherry Hill,"(39.249011000000003, -76.631996999999998)"
Giles Rd and Shellbanks Rd,310,Cherry Hill,"(39.249721000000001, -76.630346000000003)"
2701 Giles Rd (rear) and Shellbanks,311,Cherry Hill,"(39.249428669638661, -76.629800209298963)"
Sethlow Rd and Slater Rd,312,Cherry Hill,"(39.248398000000002, -76.630831000000001)"
Spelman Rd and Woodview Rd,313,Cherry Hill,"(39.248578999999999, -76.629266000000001)"
Woodview Rd and Round Rd,314,Cherry Hill,"(39.248612000000001, -76.628517000000002)"
Community Center (rear),315,Cherry Hill,"(39.248153355084071, -76.629756689071655)"
Community Center (rear),316,Cherry Hill,"(39.247172308883442, -76.629873686328978)"
Spelman Rd and Claflin Ct,317,Cherry Hill,"(39.247048999999997, -76.628801999999993)"
2822 Round Rd,318,Cherry Hill,"(39.246384231202612, -76.627666172059293)"
Spelman Rd and S Denham Cir,319,Cherry Hill,"(39.245922537637647, -76.62829926966279)"
2810 Denham Cr (side),320,Cherry Hill,"(39.245531977693837, -76.628935317859728)"
2822 Denham Cr (rear),321,Cherry Hill,"(39.244515154168433, -76.628793776035309)"
2824 N Denham Cir,322,Cherry Hill,"(39.244607999999999, -76.628546999999998)"
2820 Spelman Rd,323,Cherry Hill,"(39.244870362228532, -76.627979725599289)"
Bridgeview Rd and Spelman Rd,324,Cherry Hill,"(39.24516942056394, -76.627357222537825)"
2917 S Denham Cir (rear),325,Cherry Hill,"(39.244194490124123, -76.627524631997332)"
2901 Denham Cir (side),326,Cherry Hill,"(39.244337638991567, -76.626670767401492)"
3301 Round Rd,327,Cherry Hill,"(39.244914000000001, -76.62585)"
911 Coppin Court (rear),328,Cherry Hill,"(39.245027999999998, -76.624986000000007)"
Coppin Ct and Bunche Rd,329,Cherry Hill,"(39.245410999999997, -76.624342999999996)"
Bethune Rd and Bunche Rd,330,Cherry Hill,"(39.245061, -76.623825999999994)"
3411 Round Rd (rear),331,Cherry Hill,"(39.244008002869499, -76.62424372659882)"
3401 Round Rd,332,Cherry Hill,"(39.244001683321713, -76.624478718517977)"
BethuneRd and Spelman Rd,333,Cherry Hill,"(39.243617999999998, -76.626069000000001)"
1019 Bethune Rd (rear),334,Cherry Hill,"(39.242728, -76.626791999999995)"
3430 Spelman Rd,335,Cherry Hill,"(39.242838999999996, -76.625677999999994)"
3456 Spelman Rd,336,Cherry Hill,"(39.242624999999997, -76.625282999999996)"
3446 Spelman Rd(ParkingLot),337,Cherry Hill,"(39.242224999999998, -76.625502999999995)"
Spellman Rd LLC#7076,338,Cherry Hill,"(39.242505390473198, -76.623955070972443)"
3486 Spelman Rd,339,Cherry Hill,"(39.242170774792697, -76.62413024444065)"
Seagull Ave UMBC (rear),340,Cherry Hill,"(39.242914618344123, -76.622294783592224)"
Seagull Ave LLC#7076,341,Cherry Hill,"(39.243299999999998, -76.622775000000004)"
835 Seagull Ave (rear),342,Cherry Hill,"(39.244501652072167, -76.620795428752899)"
835 Seagull Ave,343,Cherry Hill,"(39.244782999999998, -76.621161000000001)"
Seagull Ave and Bethune Rd,344,Cherry Hill,"(39.245257000000002, -76.620875999999996)"
Carver Rd School,345,Cherry Hill,"(39.246365955380391, -76.624683290719986)"
Carver Rd and Bridgeview Rd,346,Cherry Hill,"(39.246813000000003, -76.625399999999999)"
2805 Carver Rd (rear),347,Cherry Hill,"(39.247805999999997, -76.625636)"
2627 Carver Rd,348,Cherry Hill,"(39.247836, -76.626255999999998)"
2609 Carver Rd,349,Cherry Hill,"(39.248641999999997, -76.625821999999999)"
2615 Carver Rd (circle),350,Cherry Hill,"(39.248449999999998, -76.625321999999997)"
Carver Rd Rec Center,351,Cherry Hill,"(39.246398470557722, -76.624347830690354)"
Maint Backyard 1,352,Cherry Hill,"(39.248239556242559, -76.630860418081284)"
Maint Backyard 2,353,Cherry Hill,"(39.248008993870499, -76.630664616823196)"
Community Center (rear),354,Cherry Hill,"(39.24849608195489, -76.629692316055298)"
Maint Garage Doors,355,Cherry Hill,"(39.247959142447137, -76.631044149398804)"
Community Center 2 (rear),356,Cherry Hill,"(39.248111812319252, -76.6305211186409)"
Eastern Ave and S Macon St,401,Greektown,"(39.287016000000001, -76.557327000000001)"
Eastern Ave and Oldham St,402,Greektown,"(39.287050000000001, -76.555809999999994)"
Eastern Ave and S Lehigh St,403,Greektown,"(39.287142000000003, -76.558053000000001)"
Eastern Ave and S Newkirk St,404,Greektown,"(39.287033999999998, -76.556591999999995)"
Eastern Ave and S Ponca St,405,Greektown,"(39.287101999999997, -76.554980999999998)"
Guilford Ave and E 28th St,501,Greenmount,"(39.32208, -76.613155000000006)"
Greenmount Ave and E 28th St,502,Greenmount,"(39.322150000000001, -76.609508000000005)"
Greenmount Ave and E 27th St,503,Greenmount,"(39.320922000000003, -76.609532000000002)"
Barclay St and E 27th St,504,Greenmount,"(39.320880000000002, -76.611146000000005)"
Barclay St and Whitridge Ave,505,Greenmount,"(39.321522999999999, -76.611159000000001)"
Greenmount Ave and E Lorraine Ave,506,Greenmount,"(39.320011999999998, -76.609532000000002)"
Guilford Ave and E 26th St,507,Greenmount,"(39.319519999999997, -76.612954000000002)"
Falls St Alley and E 25th St,508,Greenmount,"(39.318060000000003, -76.612168999999994)"
Greenmount Ave and E 25th St,509,Greenmount,"(39.318148000000001, -76.609463000000005)"
Boone St and E 24th St,510,Greenmount,"(39.316587576869253, -76.608768403530121)"
Cokesbury Ave and E 23rd St,511,Greenmount,"(39.316037000000001, -76.607444999999998)"
Brentwood Ave and E 24th St,512,Greenmount,"(39.316257, -76.610428999999996)"
Greenmount Ave and E 23rd St,513,Greenmount,"(39.315491000000002, -76.609523999999993)"
Guilford Ave and E 23rd St,514,Greenmount,"(39.315424, -76.612717000000004)"
E 23rd St and Boone St,515,Greenmount,"(39.315440000000002, -76.608204000000001)"
Greenmount Ave and E 22nd St,516,Greenmount,"(39.314506999999999, -76.609555999999998)"
HomewoodAve and E 22nd St,517,Greenmount,"(39.314627999999999, -76.607321999999996)"
BarclaySt and 21st1/2 St,518,Greenmount,"(39.314009206095243, -76.611210554838181)"
GuilfordAve and E 21st St,519,Greenmount,"(39.313395999999997, -76.612605000000002)"
BooneSt and E 21st St,520,Greenmount,"(39.313540000000003, -76.608453999999995)"
Greenmount Ave and Worsley St,521,Greenmount,"(39.312736999999998, -76.609537000000003)"
Barclay St and E 20th St,522,Greenmount,"(39.312432000000001, -76.611052000000001)"
Barclay St and Heaver St,523,Greenmount,"(39.312016999999997, -76.61103)"
Greenmount Ave and E North Ave,524,Greenmount,"(39.311215950332382, -76.609618663787842)"
E North Ave and Guilford Ave,525,Greenmount,"(39.311306000000002, -76.611808999999994)"
N Calvert St and McAllister St,526,Greenmount,"(39.310576764688527, -76.613631248474121)"
Guilford Ave and E Lafayette Ave,527,Greenmount,"(39.310091, -76.612380000000002)"
Barclay St and E Lafayette Ave,528,Greenmount,"(39.310032999999997, -76.610892000000007)"
Barclay St and Pitman Pl,529,Greenmount,"(39.308463000000003, -76.610750999999993)"
Greenmount Ave and E Preston St,530,Greenmount,"(39.304839000000001, -76.608198999999999)"
Greenmount Ave and E Biddle St,531,Greenmount,"(39.303781999999998, -76.607929999999996)"
Greenmount Ave and E Chase St,532,Greenmount,"(39.302734000000001, -76.607641999999998)"
Greenmount Ave and E Eager St,533,Greenmount,"(39.301361, -76.607269000000002)"
Greenmount Ave and E 29th St,534,Greenmount,"(39.324668506886333, -76.612491308403833)"
Greenmount Ave and E 30th St,535,Greenmount,"(39.323561803873233, -76.608828638501038)"
Greenmount Ave and E 31st St,536,Greenmount,"(39.325619074558503, -76.608588963083704)"
Greenmount Ave and E 32nd St,537,Greenmount,"(39.327658005347253, -76.609099552615518)"
Greenmount Ave and E 33rd St,538,Greenmount,"(39.328971981558936, -76.609427388260741)"
E Monument St and N Chester St,601,Monument,"(39.298647000000003, -76.587868999999998)"
McElderry St and N Duncan St,602,Monument,"(39.297607091153168, -76.587149798870087)"
E Monument St and Collington,603,Monument,"(39.298690999999998, -76.586667000000006)"
E Madison St and N Mederia St,604,Monument,"(39.299697261790918, -76.585991084575653)"
E Monument St and N Patterson Park Ave,605,Monument,"(39.298669827220472, -76.584993302822113)"
McElderry St and N Bradford St,606,Monument,"(39.297621620856617, -76.584298610687256)"
E Monument St and N Montford Ave,607,Monument,"(39.298806999999996, -76.583720999999997)"
E Madison St and N Port,608,Monument,"(39.299892999999997, -76.583081000000007)"
E Monument St and N Milton Ave,609,Monument,"(39.298861000000002, -76.582318999999998)"
McElderry St and N Rose St,610,Monument,"(39.297810506700003, -76.581468880200006)"
E Monument St and N Luzerne Ave,611,Monument,"(39.298915000000001, -76.580905000000001)"
E Madison St and N Glover St,612,Monument,"(39.299996999999998, -76.580263000000002)"
E Monument St and N Lakewood Ave,613,Monument,"(39.298966, -76.579492999999999)"
McElderry St and N Belnord Ave,614,Monument,"(39.297950614048887, -76.578631103038788)"
E Monument St and N Kenwood Ave,615,Monument,"(39.299028999999997, -76.578085000000002)"
E Madison St and N Streeper St,616,Monument,"(39.300113000000003, -76.577437000000003)"
McElderry St and N Linwood Ave,617,Monument,"(39.297907025134357, -76.57646656036377)"
E Monument St and N Curley St,618,Monument,"(39.299112000000001, -76.575962000000004)"
McElderry St and N Potomac St,619,Monument,"(39.298065813192402, -76.575066447257996)"
E Monument St and Decker,620,Monument,"(39.299093256600003, -76.574417352699996)"
E Madison St and N Ellwood Ave,621,Monument,"(39.300243000000002, -76.573908000000003)"
E Monument St and N Robinson St,622,Monument,"(39.299225, -76.573121)"
E Madison St and N Curley St,623,Monument,"(39.300151, -76.576040000000006)"
McElderry St and N Robinson St,624,Monument,"(39.298040905285539, -76.573086977005005)"
Milton St and E Biddle St,625,Monument,"(39.304777000000001, -76.582694000000004)"
Montford St and Ashland Ave,626,Monument,"(39.300884552380921, -76.584317046748225)"
N Collington St and E Jefferson St,627,Monument,"(39.296416312853111, -76.586668586782082)"
E Jefferson St and N Glover St,628,Monument,"(39.296763545127817, -76.579963795700948)"
Thomas Ave and Presbury St,701,North Ave West,"(39.307524000000001, -76.658071000000007)"
Thomas Ave and Westwood Ave,702,North Ave West,"(39.308432000000003, -76.658114999999995)"
W North Ave and Thomas Ave,703,North Ave West,"(39.309430999999996, -76.658180000000002)"
N Warwick Ave and Westwood Ave,704,North Ave West,"(39.308489000000002, -76.657154000000006)"
Moreland Ave and Westwood Ave,705,North Ave West,"(39.308514000000002, -76.655912000000001)"
W North Ave and Moreland Ave,706,North Ave West,"(39.309508000000001, -76.655994000000007)"
N Bentalou St and Westwood Ave,707,North Ave West,"(39.308598000000003, -76.654071000000002)"
N Smallwood St and Westwood Ave,708,North Ave West,"(39.308666000000002, -76.652665999999996)"
W North Ave and N Smallwood St,709,North Ave West,"(39.309612999999999, -76.652711999999994)"
N Smallwood St and Ridgehill Ave,710,North Ave West,"(39.311245, -76.652804000000003)"
N Pulaski St and Westwood Ave,711,North Ave West,"(39.308694000000003, -76.651258999999996)"
W North Ave and N Pulaski St,712,North Ave West,"(39.30968, -76.651338999999993)"
N Pulaski St and Herbert St,713,North Ave West,"(39.310218999999996, -76.651375999999999)"
N Pulaski St and Walbrook Ave,714,North Ave West,"(39.310763000000001, -76.651397000000003)"
W North Ave and N Payson St,715,North Ave West,"(39.309730000000002, -76.649921000000006)"
N Payson St and Herbert St,716,North Ave West,"(39.310392, -76.649955000000006)"
N Payson St and Walbrook Ave,717,North Ave West,"(39.310831, -76.649987999999993)"
N Payson St and Ridgehill Ave,718,North Ave West,"(39.311579999999999, -76.650011000000006)"
Appleton St and Westwood Ave,719,North Ave West,"(39.308785, -76.648995999999997)"
N Monroe St and Westwood Ave,720,North Ave West,"(39.308812000000003, -76.648123999999996)"
W North Ave and N Monroe St,721,North Ave West,"(39.309812999999998, -76.648179999999996)"
N Monroe St and Walbrook Ave,722,North Ave West,"(39.310882999999997, -76.648236999999995)"
N Fulton Ave and Westwood Ave,723,North Ave West,"(39.308852999999999, -76.646458999999993)"
W North Ave and N Fulton Ave,724,North Ave West,"(39.309888999999998, -76.646518)"
N Fulton Ave and Walbrook Ave,725,North Ave West,"(39.310847589188782, -76.646633148193359)"
N Mount St and Westwood Ave,726,North Ave West,"(39.308892999999998, -76.644946000000004)"
W North Ave and N Carey St,727,North Ave West,"(39.310023999999999, -76.643720000000002)"
W North Ave and Pennsylvania Ave,728,North Ave West,"(39.309890878794228, -76.642392575740814)"
Cumberland St and N Calhoun St,729,North Ave West,"(39.308031, -76.643488888899995)"
Cumberland St and Pennsylvania Ave,730,North Ave West,"(39.309211212161479, -76.641625463962555)"
W North Ave and Division St,731,North Ave West,"(39.310153, -76.640912)"
Whitelock St and Woodbrook Ave,732,North Ave West,"(39.310515000000002, -76.641210000000001)"
Etting St and Whitelock St,733,North Ave West,"(39.310861000000003, -76.640703999999999)"
Whitelock St and Francis St,734,North Ave West,"(39.311185000000002, -76.640141)"
Druid Hill Ave and Whitelock St,735,North Ave West,"(39.311560444069663, -76.639295965433121)"
W North and Bentalou St,737,North Ave West,"(39.309501617701322, -76.653885044455293)"
W North Ave and McCulloh St,742,North Ave West,"(39.310319, -76.636985999999993)"
Reisterstown Rd and Keyworth Ave,801,Park Heights,"(39.33267, -76.663122000000001)"
Reisterstown Rd and Shirley Ave,802,Park Heights,"(39.333872999999997, -76.664030999999994)"
Towonda Ave and Oswego Ave,803,Park Heights,"(39.334465470898927, -76.665989309549332)"
Reisterstown Rd and Grantley Ave,804,Park Heights,"(39.337570999999997, -76.666883999999996)"
Boarman Ave and Willowdale Ave,805,Park Heights,"(39.337273000000003, -76.669476000000003)"
Park Heights Ave and W Garrison Ave,806,Park Heights,"(39.347399273677432, -76.673582643270493)"
Reisterstown Rd and Laporte St,807,Park Heights,"(39.339444999999998, -76.668406000000004)"
Reisterstown Rd and St Ambrose Ave,808,Park Heights,"(39.340273013265822, -76.671485155820847)"
W Belvedere Ave and Litchfield Ave,809,Park Heights,"(39.346305000000001, -76.680280999999994)"
Park Heights Ave and Woodland,810,Park Heights,"(39.345194999999997, -76.671400000000006)"
W Garrison Ave and Denmore Ave,811,Park Heights,"(39.346727999999999, -76.674801000000002)"
W Garrison Ave and Palmer Ave,812,Park Heights,"(39.348089000000002, -76.672387000000001)"
Pimlico Rd and Sumter Ave,813,Park Heights,"(39.342396999999998, -76.666713999999999)"
Pimlico Rd and W Cold Spring Ln,814,Park Heights,"(39.340200408998818, -76.665105521678925)"
Quantico Ave and Pimlico Rd,815,Park Heights,"(39.337417000000002, -76.662932999999995)"
Pimlico Rd and Loyola Northway,816,Park Heights,"(39.338539825106103, -76.663619577884674)"
Pimlico Rd and Rosewood Ave,817,Park Heights,"(39.338999000000001, -76.663973999999996)"
Winner Ave and Avondale Ave,818,Park Heights,"(39.352872860050837, -76.677682399749756)"
Park Heights Ave and Hayward Ave,819,Park Heights,"(39.350004414106863, -76.678873300552368)"
Park Heights Ave and Rogers,820,Park Heights,"(39.351854502630033, -76.683323085308075)"
Park Heights Ave and Manhattan Ave,821,Park Heights,"(39.353014931138532, -76.685236841440201)"
Park Heights Ave and Glen Ave,822,Park Heights,"(39.355662378191383, -76.688167154788971)"
Park Heights Ave and Taney,823,Park Heights,"(39.357404474299997, -76.691223531999995)"
Park Heights Ave and W Strathmore Ave,824,Park Heights,"(39.358776344382562, -76.693901717662811)"
Park Heights Ave and Fords Ln,825,Park Heights,"(39.360161667345743, -76.696571856737137)"
Park Heights Ave and Clarks Ln,826,Park Heights,"(39.362361951686736, -76.699659079313278)"
Park Heights Ave and Fallstaff Rd,827,Park Heights,"(39.364946834328506, -76.702818721532822)"
Park Heights Ave and W Belvedere Ave,828,Park Heights,"(39.348869862497963, -76.675850450992584)"
Park Heights Ave and Virginia Ave,829,Park Heights,"(39.344110560038978, -76.67046993970871)"
Park Heights Ave and Wiley Ave,830,Park Heights,"(39.341017721250637, -76.667569130659103)"
Park Heights Ave and Oswego Ave,831,Park Heights,"(39.335630000000002, -76.66328)"
Park Heights Ave and Trainor Ave(JCC),832,Park Heights,"(39.353895350633891, -76.686284244060516)"
Park Heights Ave and Trainor Ave,833,Park Heights,"(39.354996637140353, -76.68757438659668)"
Park Heights Ave and Menlo Dr,834,Park Heights,"(39.356444252882831, -76.689694672822952)"
Park Heights Ave and Pinkney Rd,835,Park Heights,"(39.358184255604137, -76.692777872085571)"
Park Heights Ave and W Strathmore Ave,836,Park Heights,"(39.359001357541032, -76.694333553314209)"
Park Heights Ave and Bancroft Rd,837,Park Heights,"(39.360900978911133, -76.697849929332733)"
Park Heights Ave and NBancroft Rd,838,Park Heights,"(39.361738786766793, -76.698879897594452)"
3500 Northern Pkwy (E&T),839,Park Heights,"(39.353595258045338, -76.684169673767315)"
Park Heights Ave and Oakford Ave,840,Park Heights,"(39.340351364702592, -76.666938371828593)"
W North Ave and Bloomingdale Rd,901,Southwest District,"(39.308965000000001, -76.671139999999994)"
W North Ave and N Rosedale St,902,Southwest District,"(39.309002, -76.669337999999996)"
W North Ave and N Longwood St,903,Southwest District,"(39.309078999999997, -76.667563000000001)"
W North Ave and Poplar Grove St,904,Southwest District,"(39.309231965438812, -76.665668785572052)"
W North Ave and N Dukeland St,905,Southwest District,"(39.309212000000002, -76.664032000000006)"
W North Ave and Braddish Ave,906,Southwest District,"(39.309311000000001, -76.661154999999994)"
Westwood Ave (Dead End),907,Southwest District,"(39.308177691165163, -76.664770245552063)"
N Rosedale St and Grayson St,908,Southwest District,"(39.306477999999998, -76.669179)"
Poplar Grove St and Presbury St,909,Southwest District,"(39.307158682628923, -76.665568202733994)"
Baker St and N Dukeland St,910,Southwest District,"(39.306043000000003, -76.663825000000003)"
Bloomingdale Rd and Brighton St,911,Southwest District,"(39.305242, -76.667005000000003)"
Poplar Grove St and Pressman St,912,Southwest District,"(39.304660907503369, -76.665592342615128)"
Bloomingdale Rd and Belmont Ave,913,Southwest District,"(39.303537035276207, -76.666169017553329)"
N Rosedale St and Normount Ct,914,Southwest District,"(39.302957999999997, -76.668977999999996)"
Winchester St and N Longwood St,915,Southwest District,"(39.301316, -76.667342000000005)"
Bloomingdale Rd and Ellicott Driveway,916,Southwest District,"(39.302175496456357, -76.665651351213455)"
Ellicott Driveway and N Dukeland St,917,Southwest District,"(39.30243390029608, -76.66352704167366)"
Poplar Grove St and Riggs Ave,918,Southwest District,"(39.300189179671143, -76.665129661560059)"
