release_date,movie,production_budget,domestic_gross,worldwide_gross
2009-12-18,Avatar,425,760.507625,2783.918982
2015-12-18,Star Wars Ep. VII: The Force Awakens,306,936.662225,2058.662225
2007-05-24,Pirates of the Caribbean: At World’s End,300,309.420425,963.420425
2015-11-06,Spectre,300,200.074175,879.620923
2012-07-20,The Dark Knight Rises,275,448.139099,1084.439099
2013-07-02,The Lone Ranger,275,89.302115,260.002115
2012-03-09,John Carter,275,73.058679,282.7781
2010-11-24,Tangled,260,200.821936,586.581936
2007-05-04,Spider-Man 3,258,336.530303,890.875303
2015-05-01,Avengers: Age of Ultron,250,459.005868,1404.705868
2016-05-06,Captain America: Civil War,250,408.084349,1151.684349
2016-03-25,Batman v Superman: Dawn of Justice,250,330.360194,868.160194
2012-12-14,The Hobbit: An Unexpected Journey,250,303.003568,1017.003568
2009-07-15,Harry Potter and the Half-Blood Prince,250,301.959197,935.083686
2013-12-13,The Hobbit: The Desolation of Smaug,250,258.366855,960.366855
2014-12-17,The Hobbit: The Battle of the Five Armies,250,255.119788,955.119788
2011-05-20,Pirates of the Caribbean: On Stranger Tides,250,241.063875,1045.663875
2017-04-14,The Fate of the Furious,250,221.42187,1213.404693
2006-06-28,Superman Returns,232,200.12,374.085065
2008-11-14,Quantum of Solace,230,169.368427,591.692078
2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230,23.395,25.505
2012-05-04,The Avengers,225,623.279547,1519.479547
2006-07-07,Pirates of the Caribbean: Dead Man’s Chest,225,423.315812,1066.215812
2013-06-14,Man of Steel,225,291.045518,667.999518
2008-05-16,The Chronicles of Narnia: Prince Caspian,225,141.62149,417.341288
2012-07-03,The Amazing Spider-Man,220,262.030663,757.890267
2015-06-12,Jurassic World,215,652.19801,1671.640593
2012-05-25,Men in Black 3,215,179.020854,654.213485
2009-06-24,Transformers: Revenge of the Fallen,210,402.11187,836.519699
2014-06-27,Transformers: Age of Extinction,210,245.439076,1104.039076
2006-05-26,X-Men: The Last Stand,210,234.362462,459.359555
2010-05-14,Robin Hood,210,105.26973,322.241588
2012-05-18,Battleship,209,65.2334,305.218228
2005-12-14,King Kong,207,218.080025,550.517357
2007-12-01,The Golden Compass,205,70.107728,367.262558
1997-12-19,Titanic,200,658.672302,2207.615668
2016-12-16,Rogue One: A Star Wars Story,200,532.177324,1050.988488
2016-06-17,Finding Dory,200,486.295561,1022.617376
2010-06-18,Toy Story 3,200,415.00488,1069.818229
2013-05-03,Iron Man 3,200,408.992272,1215.392272
2004-06-30,Spider-Man 2,200,373.524485,783.705001
2010-03-05,Alice in Wonderland,200,334.19111,1025.49111
2017-05-05,Guardians of the Galaxy Vol 2,200,318.637927,749.437927
2012-11-08,Skyfall,200,304.360277,1110.526981
2013-06-21,Monsters University,200,268.488329,743.588329
2013-03-08,Oz the Great and Powerful,200,234.770996,490.359051
2014-05-23,X-Men: Days of Future Past,200,233.921534,747.862775
2014-05-02,The Amazing Spider-Man 2,200,202.853933,708.996336
2011-06-24,Cars 2,200,191.450875,560.155383
2010-12-17,Tron: Legacy,200,172.062763,400.062763
2009-11-13,2012,200,166.112167,788.408539
2009-05-21,Terminator Salvation,200,125.322469,365.491792
2011-06-17,Green Lantern,200,116.601172,219.535492
2010-05-28,Prince of Persia: Sands of Time,200,90.759676,314.594597
2011-06-29,Transformers: Dark of the Moon,195,352.390543,1123.790543
2013-03-01,Jack the Giant Slayer,195,65.187603,197.687603
2015-04-03,Furious 7,190,351.03291,1516.748684
